RIDAGEYR,RIAGENDR,RIDRETH3,INDHHIN2,INDFMPIR
56,1,2,4,0.49
2,2,3,7,1.43
5,2,3,1,0
0,2,3,5,0.97
59,2,3,15,5
3,2,3,15,5
63,1,4,4,1.29
0,1,4,3,0.64
4,2,1,4,0.47
59,1,4,2,0.43
4,2,1,15,5
26,1,3,9,2.02
63,1,3,14,5
2,2,1,5,0.86
5,2,3,14,2.24
80,1,3,5,1.39
4,1,7,3,0.72
67,2,4,6,2.57
1,1,7,5,0.89
80,2,3,4,1.18
6,1,4,15,4.61
59,2,1,15,3.79
12,1,1,5,0.73
11,1,4,5,0.73
80,2,3,6,2.14
19,2,7,10,2.65
6,2,4,15,4.16
4,1,1,15,3.79
7,1,4,6,0.91
12,2,2,15,5
53,1,3,2,0.58
40,2,3,15,3.17
0,1,1,7,1.45
44,1,1,5,0.82
69,1,4,4,1.67
34,2,7,5,0.38
18,2,4,7,1.61
17,2,2,5,0.98
8,2,7,15,3.63
0,2,4,3,0.47
10,2,4,9,1.72
4,1,3,4,0.75
1,2,4,14,3.3
59,2,3,7,1.77
60,1,2,6,1.12
61,2,6,15,5
28,2,2,4,0.5
17,1,3,5,0.84
9,2,4,6,0.78
27,1,1,4,0.64
25,1,2,8,1.52
8,2,4,14,2.18
35,2,1,14,2.9
32,2,1,7,1.38
80,1,3,5,1.27
9,2,3,15,5
71,2,3,6,2.26
21,2,2,3,0.76
28,2,2,5,1.29
39,2,3,12,NA
53,2,4,8,3.92
33,2,4,5,0.57
71,2,4,7,1.5
56,1,6,8,1.22
12,1,4,9,1.88
24,2,1,10,3.58
62,2,4,10,3.54
14,2,1,6,1.2
51,2,6,9,3.03
6,2,3,15,4.25
9,1,6,77,NA
17,1,1,8,0.94
69,1,1,6,1.64
63,2,6,1,0
8,2,1,3,0.45
71,2,3,9,5
61,1,4,7,1.92
30,1,3,15,5
51,1,1,14,3.79
6,1,4,7,1.77
50,1,4,2,0.57
79,2,3,4,0.97
42,2,3,5,1.42
54,2,1,2,0.77
20,2,3,14,2.27
1,1,3,2,0.31
74,2,4,2,0.85
59,2,3,77,NA
52,2,4,8,2.43
20,2,2,4,0.76
3,2,2,7,1.45
7,2,7,15,4.69
19,2,4,6,1.06
32,1,4,15,5
66,2,2,14,3.4
16,2,7,6,0.65
19,2,3,NA,NA
11,2,1,14,4.1
38,2,1,6,1.43
3,1,1,8,0.94
28,2,3,2,0.3
0,1,3,14,3.05
14,1,1,5,0.74
22,1,4,8,2.53
56,1,4,15,5
17,1,6,9,3.07
33,2,3,6,1.54
43,2,2,5,1.23
3,2,3,15,5
80,2,3,2,0.85
51,2,6,4,0.5
5,1,3,6,1.13
53,2,4,15,5
17,1,4,15,4.38
63,2,3,9,3.81
38,1,3,6,1.48
12,1,1,7,0.8
11,2,2,15,5
55,2,6,15,5
11,2,3,15,4.72
29,2,3,7,1.27
23,2,4,12,NA
80,1,3,77,NA
0,2,1,6,1.71
56,2,3,8,3.22
39,2,4,1,0.07
7,2,3,7,1.25
66,2,3,3,1.04
3,2,3,4,0.96
26,2,3,5,0.79
36,2,3,15,5
26,1,4,4,0.86
66,2,2,7,3.48
22,2,4,1,0.03
5,1,3,6,1.12
25,2,4,3,0.89
59,1,4,14,5
51,2,4,5,1.53
6,2,4,4,0.45
65,1,6,15,5
16,1,7,14,5
32,2,3,9,2.82
2,1,2,6,0.7
9,2,4,6,1.04
0,1,1,4,0.64
74,2,2,4,0.77
7,2,6,9,2.52
6,2,1,5,0.7
47,2,2,15,5
9,2,1,15,5
4,1,3,3,0.59
5,1,1,5,1.02
10,1,4,7,1.77
74,1,6,15,5
14,1,3,4,1.18
34,2,4,77,NA
45,1,3,5,1.63
1,2,3,7,1.7
66,1,3,5,1.16
67,2,2,5,1.74
20,2,6,1,0
78,2,4,3,0.86
2,1,4,4,1.14
17,2,4,14,3.82
44,1,1,9,3.07
67,2,4,6,2.44
29,2,3,6,1.13
19,2,1,5,0.51
0,1,3,5,1.02
27,2,1,8,1.61
1,1,2,6,1.02
51,2,3,15,5
6,1,6,8,2.1
35,2,3,15,5
74,2,4,8,4.53
72,1,3,8,3.22
9,2,7,6,0.91
33,2,1,8,1.91
7,2,3,7,1.77
11,2,2,7,1.06
71,2,6,3,1.04
74,1,3,14,4.77
4,2,3,8,1.79
16,2,6,15,5
2,2,1,1,0.14
20,1,3,5,0.98
18,2,3,8,1.56
77,1,4,6,1.93
71,1,3,15,3.17
7,1,3,14,3.26
17,1,6,1,0.04
